"Month","Category Group/Category","Category Group","Category","Assigned","Activity","Available"
"Dec 2021","Credit Card Payments: Credit Card (TG)","Credit Card Payments","Credit Card (TG)",0.00$,370.52$,370.52$
"Dec 2021","Credit Card Payments: Reconcile account","Credit Card Payments","Reconcile account",0.00$,0.00$,0.00$
"Dec 2021","Credit Card Payments: BBC Visa","Credit Card Payments","BBC Visa",0.00$,0.00$,0.00$
"Dec 2021","Credit Card Payments: TD Travel Visa","Credit Card Payments","TD Travel Visa",0.00$,0.00$,0.00$
"Dec 2021","Credit Card Payments: Viv's Credit Card (TG)","Credit Card Payments","Viv's Credit Card (TG)",0.00$,0.00$,0.00$
"Dec 2021","Credit Card Payments: WS Credit Card","Credit Card Payments","WS Credit Card",0.00$,0.00$,0.00$
"Dec 2021","Monthly: Amroth House","Monthly","Amroth House",0.00$,0.00$,0.00$
"Dec 2021","Monthly: Internet","Monthly","Internet",0.00$,0.00$,0.00$
"Dec 2021","Monthly: Cellphone","Monthly","Cellphone",0.00$,0.00$,0.00$
"Dec 2021","Monthly: Groceries","Monthly","Groceries",130.18$,-130.18$,0.00$
"Dec 2021","Monthly: Daycare","Monthly","Daycare",0.00$,0.00$,0.00$
"Dec 2021","Monthly: Life Insurance","Monthly","Life Insurance",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Fees","Cumulative","Fees",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Progeny","Cumulative","Progeny",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Books & Education","Cumulative","Books & Education",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Miscellaneous","Cumulative","Miscellaneous",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Car","Cumulative","Car",20.00$,-20.00$,0.00$
"Dec 2021","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Clothes","Cumulative","Clothes",20.28$,-20.28$,0.00$
"Dec 2021","Cumulative: Eating Out","Cumulative","Eating Out",15.40$,-15.40$,0.00$
"Dec 2021","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Gifts","Cumulative","Gifts",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Exercise","Cumulative","Exercise",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Home Improvement","Cumulative","Home Improvement",47.78$,-47.78$,0.00$
"Dec 2021","Cumulative: Public Transportation","Cumulative","Public Transportation",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Bike","Cumulative","Bike",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Special Splurge","Cumulative","Special Splurge",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Tim's Choice","Cumulative","Tim's Choice",415.00$,0.00$,415.00$
"Dec 2021","Cumulative: Vivian's Choice","Cumulative","Vivian's Choice",351.00$,0.00$,351.00$
"Dec 2021","Cumulative: Weddings","Cumulative","Weddings",0.00$,0.00$,0.00$
"Dec 2021","Cumulative: Travel","Cumulative","Travel",357.00$,0.00$,357.00$
"Dec 2021","Tax Deductible: Koala Budget","Tax Deductible","Koala Budget",0.00$,0.00$,0.00$
"Dec 2021","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work",9.59$,-9.59$,0.00$
"Dec 2021","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work",51.59$,-51.59$,0.00$
"Dec 2021","Tax Deductible: Medical","Tax Deductible","Medical",1300.00$,-15.70$,1284.30$
"Dec 2021","Tax Deductible: God's Money","Tax Deductible","God's Money",60.00$,-60.00$,0.00$
"Dec 2021","Savings: RESP","Savings","RESP",0.00$,0.00$,0.00$
"Dec 2021","Savings: Retirement","Savings","Retirement",0.00$,0.00$,0.00$
"Dec 2021","Savings: Emergency Fund","Savings","Emergency Fund",0.00$,0.00$,0.00$
"Dec 2021","Savings: House","Savings","House",0.00$,0.00$,0.00$
"Dec 2021","Savings: Investment Gain/Loss","Savings","Investment Gain/Loss",0.00$,0.00$,0.00$
"Dec 2021","Savings: Savings Expenses","Savings","Savings Expenses",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Rent","Hidden Categories","Rent",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Hydro","Hidden Categories","Hydro",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Moving & Home Setup","Hidden Categories","Moving & Home Setup",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Alcohol","Hidden Categories","Alcohol",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Vivian COGS","Hidden Categories","Vivian COGS",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Income Tax and HST","Hidden Categories","Income Tax and HST",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Moving Out Fund","Hidden Categories","Moving Out Fund",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Publishing","Hidden Categories","Publishing",0.00$,0.00$,0.00$
"Dec 2021","Hidden Categories: Tuition","Hidden Categories","Tuition",0.00$,0.00$,0.00$
"Jan 2022","Credit Card Payments: Credit Card (TG)","Credit Card Payments","Credit Card (TG)",709.76$,-1080.28$,0.00$
"Jan 2022","Credit Card Payments: Reconcile account","Credit Card Payments","Reconcile account",0.00$,0.00$,0.00$
"Jan 2022","Credit Card Payments: BBC Visa","Credit Card Payments","BBC Visa",0.00$,0.00$,0.00$
"Jan 2022","Credit Card Payments: TD Travel Visa","Credit Card Payments","TD Travel Visa",0.00$,0.00$,0.00$
"Jan 2022","Credit Card Payments: Viv's Credit Card (TG)","Credit Card Payments","Viv's Credit Card (TG)",0.00$,0.00$,0.00$
"Jan 2022","Credit Card Payments: WS Credit Card","Credit Card Payments","WS Credit Card",0.00$,0.00$,0.00$
"Jan 2022","Monthly: Amroth House","Monthly","Amroth House",0.00$,0.00$,0.00$
"Jan 2022","Monthly: Internet","Monthly","Internet",50.00$,-48.00$,2.00$
"Jan 2022","Monthly: Cellphone","Monthly","Cellphone",100.00$,-96.05$,3.95$
"Jan 2022","Monthly: Groceries","Monthly","Groceries",550.00$,-550.00$,0.00$
"Jan 2022","Monthly: Daycare","Monthly","Daycare",0.00$,0.00$,0.00$
"Jan 2022","Monthly: Life Insurance","Monthly","Life Insurance",0.00$,0.00$,0.00$
"Jan 2022","Cumulative: Fees","Cumulative","Fees",200.35$,-200.35$,0.00$
"Jan 2022","Cumulative: Progeny","Cumulative","Progeny",0.00$,0.00$,0.00$
"Jan 2022","Cumulative: Books & Education","Cumulative","Books & Education",0.00$,0.00$,0.00$
"Jan 2022","Cumulative: Miscellaneous","Cumulative","Miscellaneous",0.00$,0.00$,0.00$
"Jan 2022","Cumulative: Car","Cumulative","Car",450.00$,-292.31$,157.69$
"Jan 2022","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy",0.00$,0.00$,0.00$
"Jan 2022","Cumulative: Clothes","Cumulative","Clothes",225.00$,-225.00$,0.00$
"Jan 2022","Cumulative: Eating Out","Cumulative","Eating Out",70.00$,-43.45$,26.55$
"Jan 2022","Cumulative: Fun, Dates & Hobbies","Cumulative","Fun, Dates & Hobbies",150.00$,-15.00$,135.00$
"Jan 2022","Cumulative: Gifts","Cumulative","Gifts",200.00$,-85.39$,114.61$
"Jan 2022","Cumulative: Exercise","Cumulative","Exercise",50.00$,-14.00$,36.00$
"Jan 2022","Cumulative: Home Improvement","Cumulative","Home Improvement",50.00$,-50.00$,0.00$
"Jan 2022","Cumulative: Public Transportation","Cumulative","Public Transportation",50.00$,0.00$,50.00$
"Jan 2022","Cumulative: Bike","Cumulative","Bike",50.00$,0.00$,50.00$
"Jan 2022","Cumulative: Special Splurge","Cumulative","Special Splurge",0.00$,0.00$,0.00$
"Jan 2022","Cumulative: Tim's Choice","Cumulative","Tim's Choice",60.00$,0.00$,475.00$
"Jan 2022","Cumulative: Vivian's Choice","Cumulative","Vivian's Choice",60.00$,0.00$,411.00$
"Jan 2022","Cumulative: Weddings","Cumulative","Weddings",125.00$,0.00$,125.00$
"Jan 2022","Cumulative: Travel","Cumulative","Travel",150.00$,-236.97$,270.03$
"Jan 2022","Tax Deductible: Koala Budget","Tax Deductible","Koala Budget",0.00$,0.00$,0.00$
"Jan 2022","Tax Deductible: Timmy's Work","Tax Deductible","Timmy's Work",0.00$,-197.81$,-197.81$
"Jan 2022","Tax Deductible: Vivian's Work","Tax Deductible","Vivian's Work",0.00$,-104.95$,-104.95$
"Jan 2022","Tax Deductible: Medical","Tax Deductible","Medical",200.00$,-87.99$,1396.31$
"Jan 2022","Tax Deductible: God's Money","Tax Deductible","God's Money",420.00$,-300.94$,119.06$
"Jan 2022","Savings: RESP","Savings","RESP",0.00$,0.00$,0.00$
"Jan 2022","Savings: Retirement","Savings","Retirement",0.00$,0.00$,0.00$
"Jan 2022","Savings: Emergency Fund","Savings","Emergency Fund",7586.67$,0.00$,7586.67$
"Jan 2022","Savings: House","Savings","House",59257.00$,0.00$,59257.00$
"Jan 2022","Savings: Investment Gain/Loss","Savings","Investment Gain/Loss",0.00$,-1478.26$,-1478.26$
"Jan 2022","Savings: Savings Expenses","Savings","Savings Expenses",0.00$,0.00$,0.00$
"Jan 2022","Hidden Categories: Rent","Hidden Categories","Rent",1450.00$,-1450.00$,0.00$
"Jan 2022","Hidden Categories: Hydro","Hidden Categories","Hydro",90.24$,-90.24$,0.00$
"Jan 2022","Hidden Categories: Moving & Home Setup","Hidden Categories","Moving & Home Setup",0.00$,0.00$,0.00$
"Jan 2022","Hidden Categories: Alcohol","Hidden Categories","Alcohol",50.00$,0.00$,50.00$
"Jan 2022","Hidden Categories: Vivian COGS","Hidden Categories","Vivian COGS",0.00$,0.00$,0.00$
"Jan 2022","Hidden Categories: Income Tax and HST","Hidden Categories","Income Tax and HST",520.00$,0.00$,520.00$
"Jan 2022","Hidden Categories: Moving Out Fund","Hidden Categories","Moving Out Fund",10000.00$,0.00$,10000.00$
"Jan 2022","Hidden Categories: Publishing","Hidden Categories","Publishing",6615.00$,0.00$,6615.00$
"Jan 2022","Hidden Categories: Tuition","Hidden Categories","Tuition",2000.00$,0.00$,2000.00$
"Feb 2022","Credit Card Payments: Credit Card (TG)","Credit Card Payments","Credit Card (TG)",2834.63$,-2834.63$,0.00$
"Feb 2022","Credit Card Payments: Reconcile account","Credit Card Payments","Reconcile account",0.00$,0.00$,0.00$
"Feb 2022","Credit Card Payments: BBC Visa","Credit Card Payments","BBC Visa",0.00$,0.00$,0.00$
"Feb 2022","Credit Card Payments: TD Travel Visa","Credit Card Payments","TD Travel Visa",0.00$,0.00$,0.00$
"Feb 2022","Credit Card Payments: Viv's Credit Card (TG)","Credit Card Payments","Viv's Credit Card (TG)",0.00$,0.00$,0.00$
"Feb 2022","Credit Card Payments: WS Credit Card","Credit Card Payments","WS Credit Card",0.00$,0.00$,0.00$
"Feb 2022","Monthly: Amroth House","Monthly","Amroth House",0.00$,0.00$,0.00$
"Feb 2022","Monthly: Internet","Monthly","Internet",50.00$,-52.00$,0.00$
"Feb 2022","Monthly: Cellphone","Monthly","Cellphone",100.00$,-96.05$,7.90$
"Feb 2022","Monthly: Groceries","Monthly","Groceries",550.00$,-550.00$,0.00$
"Feb 2022","Monthly: Daycare","Monthly","Daycare",0.00$,0.00$,0.00$
"Feb 2022","Monthly: Life Insurance","Monthly","Life Insurance",0.00$,0.00$,0.00$
"Feb 2022","Cumulative: Fees","Cumulative","Fees",10.00$,-10.00$,0.00$
"Feb 2022","Cumulative: Progeny","Cumulative","Progeny",0.00$,0.00$,0.00$
"Feb 2022","Cumulative: Books & Education","Cumulative","Books & Education",0.00$,0.00$,0.00$
