"Account","Flag","Date","Payee","Category Group/Category","Category Group","Category","Memo","Outflow","Inflow","Cleared"
"Reconcile account","","30-09-2026","Transfer : Viv's Pension","Savings: Retirement","Savings","Retirement","Pension Transfer",291.75$,0.00$,"Uncleared"
"Viv's Pension","","30-09-2026","Transfer : Reconcile account","","","","Pension Transfer",0.00$,291.75$,"Uncleared"
"Reconcile account","","30-09-2026","Vivian Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,291.75$,"Uncleared"
"Reconcile account","","25-09-2026","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",336.92$,0.00$,"Uncleared"
"Tim's Pension","","25-09-2026","Transfer : Reconcile account","","","","Pension transfer",0.00$,336.92$,"Uncleared"
"Reconcile account","","25-09-2026","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,336.92$,"Uncleared"
"WS Credit Card","","14-09-2026","CanadaHelps","Tax Deductible: God's Money","Tax Deductible","God's Money","",50.00$,0.00$,"Uncleared"
"WS Credit Card","","13-09-2026","Costco","Monthly: Groceries","Monthly","Groceries","",134.32$,0.00$,"Cleared"
"WS Joint Checking account 2","","13-09-2026","Transfer Out","","","","",56.00$,0.00$,"Cleared"
"WS Credit Card","","13-09-2026","Amazon","Cumulative: Progeny","Cumulative","Progeny","",40.67$,0.00$,"Cleared"
"WS Joint Checking account 2","","13-09-2026","Transfer Out","","","","",26.00$,0.00$,"Cleared"
"WS Joint Checking account 2","","12-09-2026","Transfer Out","","","","",601.00$,0.00$,"Cleared"
"WS Joint Checking account 2","","12-09-2026","Transfer Out","","","","",402.00$,0.00$,"Cleared"
"WS Credit Card","","12-09-2026","FreshCo","Monthly: Groceries","Monthly","Groceries","",344.98$,0.00$,"Uncleared"
"WS Credit Card","","12-09-2026","Google One","Cumulative: Miscellaneous","Cumulative","Miscellaneous","",45.19$,0.00$,"Cleared"
"WS Joint Checking account 2","","12-09-2026","Transfer Out","","","","",12.34$,0.00$,"Cleared"
"WS Joint Checking account 2","","11-09-2026","Transfer : Everyday Checking (TG)","","","","",498.00$,0.00$,"Cleared"
"Reconcile account","","11-09-2026","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",336.92$,0.00$,"Uncleared"
"WS Credit Card","","11-09-2026","Silk and Snow","","","","",180.80$,0.00$,"Cleared"
"WS Credit Card","","11-09-2026","Columbia Sportswear","","","","",43.51$,0.00$,"Uncleared"
"WS Credit Card","","11-09-2026","Amazon","Cumulative: Progeny","Cumulative","Progeny","",32.55$,0.00$,"Cleared"
"WS Credit Card","","11-09-2026","","","","","",0.00$,20.00$,"Cleared"
"Tim's Pension","","11-09-2026","Transfer : Reconcile account","","","","Pension transfer",0.00$,336.92$,"Uncleared"
"Reconcile account","","11-09-2026","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,336.92$,"Uncleared"
"Everyday Checking (TG)","","11-09-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,498.00$,"Uncleared"
"WS Credit Card","","09-09-2026","Economical Insurance","Cumulative: Car","Cumulative","Car","",188.32$,0.00$,"Reconciled"
"WS Credit Card","","09-09-2026","Vm","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy","",27.00$,0.00$,"Cleared"
"WS Joint Checking account 2","","09-09-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2003.59$,"Cleared"
"Amroth Equity","","08-09-2026","","","","","Mortgage principal Payment",0.00$,1117.49$,"Reconciled"
"WS Credit Card","","07-09-2026","Fido","Monthly: Cellphone","Monthly","Cellphone","",50.85$,0.00$,"Reconciled"
"BBC Chequing","","04-09-2026","Transfer : WS Joint Checking account 2","","","","",1278.02$,0.00$,"Uncleared"
"WS Credit Card","","04-09-2026","CanadaHelps","Tax Deductible: God's Money","Tax Deductible","God's Money","",100.00$,0.00$,"Reconciled"
"WS Credit Card","","04-09-2026","CanadaHelps","Tax Deductible: God's Money","Tax Deductible","God's Money","",100.00$,0.00$,"Reconciled"
"WS Joint Checking account 2","","04-09-2026","Transfer : BBC Chequing","","","","",0.00$,1278.02$,"Cleared"
"WS Credit Card","","03-09-2026","CanadaHelps","Tax Deductible: God's Money","Tax Deductible","God's Money","",150.00$,0.00$,"Reconciled"
"WS Credit Card","","02-09-2026","Fisher's","Monthly: Groceries","Monthly","Groceries","",167.63$,0.00$,"Reconciled"
"WS Joint Checking account 2","","01-09-2026","Transfer : Timmy's TFSA","Savings: House","Savings","House","",500.00$,0.00$,"Uncleared"
"WS Joint Checking account 2","","01-09-2026","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,17.72$,"Uncleared"
"Timmy's TFSA","","01-09-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,500.00$,"Uncleared"
"WS Joint Checking account 2","","31-08-2026","Transfer : WS Credit Card","","","","",2096.03$,0.00$,"Reconciled"
"BBC Visa","","31-08-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","INTUIT *QBooks Online 888-829-8589, ON",229.28$,0.00$,"Cleared"
"Viv's Credit Card (TG)","","31-08-2026","POURED COFFEE TORONTO ON","Cumulative: Miscellaneous","Cumulative","Miscellaneous","dishwasher pods",18.31$,0.00$,"Cleared"
"Viv's Paycheck (TD)","","31-08-2026","MONTHLY ACCOUNT FEE","Cumulative: Fees","Cumulative","Fees","",11.95$,0.00$,"Reconciled"
"WS Credit Card","","31-08-2026","Thai Room","Cumulative: Eating Out","Cumulative","Eating Out","",0.40$,0.00$,"Reconciled"
"Everyday Checking (TG)","","31-08-2026","Interest","Inflow: Ready to Assign","Inflow","Ready to Assign","Interest Paid",0.00$,0.01$,"Reconciled"
"WS Joint Checking account 2","","31-08-2026","Promotion","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,5.00$,"Reconciled"
"CC Rewards (TG)","","31-08-2026","Credit Card Rewards Redemption","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,8.62$,"Reconciled"
"Viv's Paycheck (TD)","","31-08-2026","ACCT BAL REBATE","Cumulative: Fees","Cumulative","Fees","",0.00$,11.95$,"Reconciled"
"Viv's Paycheck (TD)","","31-08-2026","UW303 TFR-FR 6466454","Cumulative: Home Improvement","Cumulative","Home Improvement","reimbursement for Hose from Amroth account",0.00$,64.36$,"Reconciled"
"BBC Chequing","","31-08-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","EFT CREDIT INTUIT CANADA PAYMENTS INC.",0.00$,122.15$,"Reconciled"
"Viv's Paycheck (TD)","","31-08-2026","CHURCH OF THE R PAY","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,1361.36$,"Reconciled"
"WS Credit Card","","31-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,2096.03$,"Reconciled"
"BBC Chequing","","31-08-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","EFT CREDIT 1000126074 ONTARIO INC.",0.00$,3596.33$,"Reconciled"
"Reconcile account","","30-08-2026","Transfer : Viv's Pension","Savings: Retirement","Savings","Retirement","Pension Transfer",291.75$,0.00$,"Uncleared"
"WS Credit Card","","30-08-2026","CanadaHelps","Tax Deductible: God's Money","Tax Deductible","God's Money","",30.00$,0.00$,"Reconciled"
"WS Credit Card","","30-08-2026","Vm","Cumulative: Health & Pharmacy","Cumulative","Health & Pharmacy","",16.46$,0.00$,"Reconciled"
"Reconcile account","","30-08-2026","Vivian Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,291.75$,"Uncleared"
"Viv's Pension","","30-08-2026","Transfer : Reconcile account","","","","Pension Transfer",0.00$,291.75$,"Uncleared"
"Reconcile account","","28-08-2026","Transfer : Tim's Pension","Savings: Retirement","Savings","Retirement","Pension transfer",336.92$,0.00$,"Uncleared"
"Viv's Credit Card (TG)","","28-08-2026","STAPLES STORE #159 TORONTO ON","Cumulative: Gifts","Cumulative","Gifts","Printing for Simplson Shower",24.60$,0.00$,"Cleared"
"Viv's Credit Card (TG)","","28-08-2026","STAPLES STORE #159 TORONTO ON","Cumulative: Gifts","Cumulative","Gifts","Printing for simpson shower",23.65$,0.00$,"Cleared"
"Viv's Credit Card (TG)","","28-08-2026","STAPLES#159 TORONTO ON","Cumulative: Gifts","Cumulative","Gifts","printing for simpson shower",15.18$,0.00$,"Cleared"
"Viv's Credit Card (TG)","","28-08-2026","VM 7975 TORONTO ON","Monthly: Groceries","Monthly","Groceries","VM 7975 TORONTO ON",10.75$,0.00$,"Cleared"
"Reconcile account","","28-08-2026","Timmy's Pension","Inflow: Ready to Assign","Inflow","Ready to Assign","Pension Payment",0.00$,336.92$,"Uncleared"
"Tim's Pension","","28-08-2026","Transfer : Reconcile account","","","","Pension transfer",0.00$,336.92$,"Uncleared"
"WS Joint Checking account 2","","26-08-2026","Transfer : RESP","Savings: RESP","Savings","RESP","",100.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","26-08-2026","DOLLARAMA # 764 TORONTO ON","Cumulative: Progeny","Cumulative","Progeny","DOLLARAMA # 764 TORONTO ON",24.58$,0.00$,"Cleared"
"RESP","","26-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,100.00$,"Uncleared"
"WS Joint Checking account 2","","26-08-2026","World Vision","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,2003.59$,"Reconciled"
"WS Credit Card","","25-08-2026","Well.ca","Cumulative: Progeny","Cumulative","Progeny","lunch box, Soren soap",102.21$,0.00$,"Reconciled"
"Everyday Checking (TG)","","24-08-2026","Transfer : Credit Card (TG)","","","","PREAUTHORIZED PAYMENT",235.68$,0.00$,"Reconciled"
"BBC Visa","","24-08-2026","BBC Income","Tax Deductible: Koala Budget","Tax Deductible","Koala Budget","ANTHROPIC* CLAUDE SUB ANTHROPIC.COM, CA",28.00$,0.00$,"Cleared"
"WS Credit Card","","24-08-2026","","Cumulative: Fees","Cumulative","Fees","",20.00$,0.00$,"Reconciled"
"Viv's Credit Card (TG)","","24-08-2026","VALUE VILLAGE # 2040 TORONTO ON","Cumulative: Books & Education","Cumulative","Books & Education","VALUE VILLAGE # 2040 TORONTO ON",5.03$,0.00$,"Cleared"
"BBC Visa","","24-08-2026","BBC Income","Inflow: Ready to Assign","Inflow","Ready to Assign","DIGITALOCEAN.COM SAINT JOHN, NB 1.93 USD @ 1.414507",2.73$,0.00$,"Cleared"
"Credit Card (TG)","","24-08-2026","Transfer : Everyday Checking (TG)","","","","PREAUTHORIZED PAYMENT",0.00$,235.68$,"Cleared"
"WS Credit Card","","23-08-2026","CanadaHelps","Tax Deductible: God's Money","Tax Deductible","God's Money","",60.00$,0.00$,"Reconciled"
"WS Credit Card","","23-08-2026","CanadaHelps","Tax Deductible: God's Money","Tax Deductible","God's Money","",50.00$,0.00$,"Reconciled"
"WS Credit Card","","23-08-2026","Sobeys","Monthly: Groceries","Monthly","Groceries","",18.01$,0.00$,"Reconciled"
"WS Credit Card","","22-08-2026","FreshCo","Monthly: Groceries","Monthly","Groceries","",139.40$,0.00$,"Reconciled"
"WS Credit Card","","22-08-2026","Loblaws","Monthly: Groceries","Monthly","Groceries","",30.95$,0.00$,"Reconciled"
"WS Credit Card","","21-08-2026","Willful","Cumulative: Miscellaneous","Cumulative","Miscellaneous","Will software",335.21$,0.00$,"Reconciled"
"WS Joint Checking account 2","","20-08-2026","Transfer : Viv's TFSA","Savings: House","Savings","House","",1000.00$,0.00$,"Reconciled"
"Viv's Paycheck (TD)","","20-08-2026","Transfer : Amroth Equity","Savings: House","Savings","House","",1000.00$,0.00$,"Reconciled"
"WS Joint Checking account 2","","20-08-2026","Transfer : Timmy's TFSA","Savings: House","Savings","House","",500.00$,0.00$,"Reconciled"
"Everyday Checking (TG)","","20-08-2026","INTERAC e-Transfer To: Natalie M","Cumulative: Home Improvement","Cumulative","Home Improvement","INTERAC e-Transfer To: Natalie Martin - Amazon repayment",125.00$,0.00$,"Reconciled"
"Cash","","20-08-2026","","Monthly: Groceries","Monthly","Groceries","farmers market food",22.00$,0.00$,"Cleared"
"Timmy's TFSA","","20-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,500.00$,"Cleared"
"Viv's Paycheck (TD)","","20-08-2026","CCB","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,821.28$,"Reconciled"
"Viv's TFSA","","20-08-2026","Transfer : WS Joint Checking account 2","","","","",0.00$,1000.00$,"Uncleared"
"Amroth Equity","","20-08-2026","Transfer : Viv's Paycheck (TD)","","","","",0.00$,1000.00$,"Reconciled"
"Credit Card (TG)","","18-08-2026","YOGA MAMAS NORTH VANCOUV BC","Tax Deductible: Medical","Tax Deductible","Medical","YOGA MAMAS NORTH VANCOUV BC",105.00$,0.00$,"Cleared"
"Viv's Paycheck (TD)","","18-08-2026","Viv EI","Inflow: Ready to Assign","Inflow","Ready to Assign","",0.00$,852.00$,"Reconciled"
